CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
20797433,S9,MSME,37163.779303,0.0,281000,0.0,318163.779303,189479.0,280852.333333,189479.0,280852.333333,,,-101.474059
20801974,S9,NONE,2051113.149999,0.0,239000,0.0,2290113.149999,128190026.0,125849285.033336,128190026.0,125849285.033336,,,5.735125
10061812,S9,NONE,58793.415666,0.0,0,0.0,58793.415666,2070439.0,2070439.0,70439.0,70439.0,2000000.0,2000000.0,-73.688839
15010628,S9,NONE,63080.740488,0.0,0,0.0,63080.740488,2537787.0,2537787.0,108168.0,108168.0,2429619.0,2429619.0,-73.688839
5419505,S9,MSME,9640686.916782,0.0,41198260,13723180.0,64562126.916782,174059140.4,234083390.573333,174059140.4,234083390.573333,,,59.61121
5228918,S9,MSME,562761.918043,0.0,773000,0.0,1335761.918043,14193570.0,14509974.300001,14193570.0,14509974.300001,,,-30.444131
5236377,S9,NONE,60865.256002,0.0,0,0.0,60865.256002,1036470.0,1028469.999999,1036470.0,1028469.999999,,,-104.064246
5338182,S9,SME,459046.127,267010958.904548,11626000,0.0,280292421.138376,9276500.0,11993087.800001,8063866.0,10780453.800001,1212634.0,1212634.0,-16.687053
435952,S9,DNL,35948305851.1688,0.0,4412721274,236600000.0,40597627125.1688,423916795001.16,353084553583.012,202734936627.16,131902695209.012,221181858374.0,221181858374.0,149.424836
16951951,S9,MSME,6741.164896,34369589.041326,1170000,0.0,35546330.206222,0.0,67074.166668,0.0,67074.166668,,,-56.007653
17273166,S9,NONE,283078.970522,0.0,1260000,0.0,1543078.970522,1191426.0,3072554.9,79314.0,1960442.9,1112112.0,1112112.0,-72.924632
7054474,S9,SME,179505.793528,125089260.273638,5000000,0.0,130268766.067166,3628205.0,3837727.599999,2441002.0,2650524.599999,1187203.0,1187203.0,-36.154521
18306645,S9,MSME,143560.73938,0.0,720000,0.0,863560.73938,5770078.0,6994588.833335,5770078.0,6994588.833335,,,-48.784192
13001051,S9,MSME,5281.65968,0.0,0,0.0,5281.65968,559315.0,559315.0,1681.0,1681.0,557634.0,557634.0,-117.26971
14754886,S9,MSME,82645.174584,0.0,0,0.0,82645.174584,2119978.0,2116629.799999,1020486.0,1020404.8,1099492.0,1096224.999999,-79.698801
