A,B,C,D,LABEL
4.0,78000000.0,96500000.0,1005200.0,0
,215877375000.0,,37382087.0,0
,9857764913624.0,,,0
,,,2394773.0,0
34.0,2728810662.0,2981540662.0,2538146.0,0
68.0,7010955620.0,14643120358.0,219778200.0,0
,334950000000.0,,202509373.0,0
,,,,0
1.0,2000000.0,2000000.0,,0
,,,116174.0,0
,2377963968.0,,118217636.0,0
1.0,,70000000.0,393358.0,0
,644315107475.0,,56796782.0,0
,465221409.0,,,0
14.0,9101000800.0,13351000800.0,42355185.0,0
1.0,83400000.0,83400000.0,514673557.0,0
,,,,0
421.0,25502618288.0,50109805066.0,3763891301.0,0
,,,1499333.0,0
,1000000000.0,,267653493.0,0
3.0,20700000.0,20700000.0,133584.0,0
91.0,79616199432.0,162433797048.0,21160119.0,0
81.0,2071893413.0,4118071198.0,0.0,0
,,,48230650.6,0
37.0,962551057.0,1313318239.0,91501326.0,0
,56955057363.0,,108114288.0,0
29.0,5319435027.0,12202547651.0,,0
,41686495220.0,,,0
,,,42517991.0,0
,1068000000.0,,39742150.0,0
,2229832299644.0,,823047309.72,0
,,,44637.0,0
,,,29930874.0,0
,800000000.0,,38553670.0,0
14.0,2074942711.0,4074942711.0,64100.0,0
,,,15389000.0,0
,135530867376.0,,,0
449.0,251720755445.0,362113471495.0,,0
2.0,66000000.0,66000000.0,54692812.0,0
53.0,2433006088.0,3700124883.0,,0
,73200000000.0,,525829844.0,0
,,,25308363.0,0
,,,,0
10.0,17735942.0,146551941.0,4815272.0,0
,53757670450.0,,4412269.0,0
,2194525870240.0,,1421978513.0,0
124.0,4793204895.0,8052758124.0,3825640.0,0
,65000000.0,,1378753.0,0
,,,928359.0,0
28.0,3486745230.0,7400716546.0,6836754.0,0
,22620000000.0,,12436135.5,0
50.0,43329196843.0,55049358141.0,10639302.0,0
,6763500000.0,,178111273.0,0
,,,,0
,11912100000.0,,93867336.0,0
17.0,133289000.0,145781000.0,2065992.0,0
,103622199704.0,,118115432.0,0
6.0,248500000.0,285500000.0,2654195.0,0
128.0,10653384427.0,18861800667.0,338878408.2,0
,,,663913.0,0
,1110952924500.0,,342199664.0,0
,,,416906855.0,0
,,,100136913.0,0
36.0,2851087245.0,4558611341.0,,0
,3447423710052.0,,1129752330.0,0
,,,1015174.0,0
,3356711812.0,,286680610.0,0
4.0,289000000.0,779562007.0,1055845.0,0
2.0,120000000.0,180000000.0,21562472.0,0
,,,97677235.0,0
,2702094120.0,,73799.0,0
,,,1367721952.0,0
,,,22371.0,0
98.0,2147924463.0,3976058917.0,301902.0,0
,,,,0
,471212997948.0,,,0
2.0,60000000.0,130000000.0,20157374.0,0
,8160000000.0,,603415397.0,0
,166421242000.0,,1683575773.0,0
,,,6551713.0,0
,15825498648.0,,5482316.0,0
,187097946.0,,947363.0,0
,,,1001908.0,0
12.0,,327640018.0,1590.0,0
,6969760000.0,,8863356.0,0
1.0,18700000.0,18700000.0,4324060.0,0
,,,26375354.0,0
13.0,1170000000.0,2643000000.0,10353992.0,0
,,,3736508.0,0
,38131687000.0,,8472473.0,0
78.0,4558360612.0,10944597414.0,1003179491.0,0
99.0,2033840328.0,4508552830.0,,0
21.0,6805000000.0,21205000000.0,2761790.0,0
81.0,133865710055.0,163880949259.0,1133521856.0,0
,46000000.0,,,0
,,,31863290.0,0
,,,1256296.0,0
,,,150969.0,0
,,,97214.0,0
,18144000000.0,,98898118.0,0
,46641921711.0,,,0
,,,650695000.0,0
,,,150450073.0,0
25.0,,26206764.0,,0
16.0,270100000.0,496000000.0,63478.0,0
,67020896307.0,,54259074.0,0
53.0,8192245195.0,23103820860.0,5914218.0,0
,7656000000.0,,7729818.0,0
35.0,524416053.0,994349623.0,42574641.0,0
,,,116583832.0,0
,14889506662.0,,,0
,2655000000.0,,3272889.0,0
,7758144493314.0,,35027054.0,0
,27900000000.0,,49787066.0,0
,7200000000.0,,204461426.0,0
,,,3439399.0,0
,,,17418712.0,0
,1462279135140.0,,6833893.0,0
,3820000000.0,,392216.0,0
,189218575106.0,,49228495.0,0
142.0,159311494297.0,303715548592.0,2553385.8,0
,4200000000.0,,7101456.0,0
73.0,686439224.0,1648118240.0,2410365.4,0
,299765719998000.0,,35449390299.0,0
,,,687522.0,0
39.0,15064156043.0,25605849990.0,,0
,11840000000.0,,277323993.0,0
10.0,112546900.0,191063500.0,873324.0,0
,445214910720.0,,,0
,171362960985.0,,910987873.0,0
,,,260464228.0,0
,14950229145.0,,,0
6.0,161200000.0,334745000.0,8018132.0,0
,40296292672.0,,37207547.0,1
,,,41895449.0,0
,,,1028587.0,0
,720000000.0,,8550027.0,0
,,,182180573.0,0
,,,27900.0,0
,,,1363540.0,0
,417357953320.0,,,0
,509080556125.0,,,0
,,,772693.0,0
,849123820963.0,,1007920706.0,0
108.0,3120054600.0,5858171366.0,1070909.0,0
,14110000000.0,,54912711.0,0
27.0,2235594686.0,4588394686.0,83159144.0,0
13.0,,1327345030.0,,0
,,,230357462.0,0
,1340429019348.0,,125723539.0,0
,110388949794.0,,7535380.0,0
,,,83944.0,0
30.0,1156974180.0,2741723162.0,468194825.0,0
,6600678033536.0,,,0
,,,297622.0,0
