Label name,Feature type,Feature name,Column name,Bin,Number customer,Contribution,Conversion rate,Event_cnt,Non_event_cnt,Dist_event,Dist_non_event,ChiSquare,P_value,CramerV,CramerV_remark,WOE,IV,score
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(1038714976.0, inf]",4538,5.404247,0.921551,4182,356,15.168662,0.631194,40307.198616,0.0,0.69283,Strong,3.179373,0.4622,11.25244
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,Special 0,323,0.384657,0.021672,7,316,0.02539,0.560274,40307.198616,0.0,0.69283,Strong,-3.094073,0.01655,-0.402909
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,Missing,690,0.821712,0.007246,5,685,0.018136,1.214517,42349.347804,0.0,0.710164,Strong,-4.204222,0.050299,-1.047202
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(-inf, 132447.664]",6455,7.687178,0.006507,42,6413,0.152339,11.370366,42349.347804,0.0,0.710164,Strong,-4.312654,0.483795,-10.072471
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(132447.664, 1731441.75]",12112,14.424027,0.016595,201,11911,0.729053,21.11842,42349.347804,0.0,0.710164,Strong,-3.366154,0.686337,-14.289356
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(1731441.75, 5603140.5]",9854,11.735004,0.032779,323,9531,1.171563,16.898637,42349.347804,0.0,0.710164,Strong,-2.668894,0.419739,-8.738848
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(5603140.5, 16665522.0]",10292,12.256612,0.083949,864,9428,3.133841,16.716016,42349.347804,0.0,0.710164,Strong,-1.674108,0.22738,-4.733994
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(16665522.0, 30699649.0]",6727,8.011099,0.176602,1188,5539,4.309032,9.820748,42349.347804,0.0,0.710164,Strong,-0.823784,0.045405,-0.945312
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(30699649.0, 49981348.0]",5722,6.814257,0.28906,1654,4068,5.999275,7.212638,42349.347804,0.0,0.710164,Strong,-0.184196,0.002235,-0.046531
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(49981348.0, 75397576.0]",5144,6.125924,0.479977,2469,2675,8.955386,4.742824,42349.347804,0.0,0.710164,Strong,0.635622,0.026776,0.557469
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(75397576.0, 185479400.0]",10403,12.388801,0.63847,6642,3761,24.091404,6.668321,42349.347804,0.0,0.710164,Strong,1.284487,0.223797,4.659396
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(185479400.0, 528203072.0]",8938,10.644151,0.802976,7177,1761,26.031919,3.122285,42349.347804,0.0,0.710164,Strong,2.120758,0.485858,10.115428
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,"(528203072.0, inf]",7634,9.091234,0.917605,7005,629,25.408052,1.115228,42349.347804,0.0,0.710164,Strong,3.126007,0.759395,15.810401
